,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,gdp, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,log_rate
0,2015,1,65.0,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584,17.2,17.3,0.479,10.1,4.189654742026425
1,2014,1,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612,17.5,17.5,0.476,10.0,4.109233174715851
2,2013,1,59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631,17.7,17.7,0.47,9.9,4.109233174715851
3,2012,1,59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669,17.9,18.0,0.463,9.8,4.102643365036796
4,2011,1,59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63,18.2,18.2,0.454,9.5,4.097672352314776
5,2010,1,58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553,18.4,18.4,0.448,9.2,4.091005660956586
6,2009,1,58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445,18.6,18.7,0.434,8.9,4.087655574071304
7,2008,1,58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373,18.8,18.9,0.433,8.7,4.079230924412053
8,2007,1,57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369,19.0,19.1,0.415,8.4,4.069026754237811
9,2006,1,57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272,19.2,19.3,0.405,8.1,4.065602093356446
10,2005,1,57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25,19.3,19.5,0.396,7.9,4.065602093356446
11,2004,1,57.0,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219,19.5,19.7,0.381,6.8,4.060443010546419
12,2003,1,56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198,19.7,19.9,0.373,6.5,4.055257173514054
13,2002,1,56.2,3,88,0.01,16.88735091,64,2486,13.0,122,36,7.76,36,0.1,187,19.9,2.2,0.341,6.2,4.046553898385752
14,2001,1,55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117,2.1,2.4,0.34,5.9,4.030694535145645
15,2000,1,54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114,2.3,2.5,0.338,5.5,4.021773869387265
16,2015,1,77.8,74,0,4.6,364.9752287,99,0,58.0,0,99,6.0,99,0.1,3954,1.2,1.3,0.762,14.2,4.366912996863833
17,2014,1,77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,4575,1.2,1.3,0.761,14.2,4.363098624788363
